study,test_param,pic_id,pic_name,obs_plot_location,response_no,n
turk4,euc,264,euc_line2_2_0_7.png,7,2,0
turk4,euc,264,euc_line2_2_0_7.png,7,3,0
turk4,euc,264,euc_line2_2_0_7.png,7,4,0
turk4,euc,264,euc_line2_2_0_7.png,7,5,0
turk4,euc,264,euc_line2_2_0_7.png,7,6,0
turk4,euc,264,euc_line2_2_0_7.png,7,7,1
turk4,euc,264,euc_line2_2_0_7.png,7,8,0
turk4,euc,264,euc_line2_2_0_7.png,7,9,0
turk4,euc,264,euc_line2_2_0_7.png,7,10,0
turk4,euc,264,euc_line2_2_0_7.png,7,11,0
turk4,euc,264,euc_line2_2_0_7.png,7,12,0
turk4,euc,264,euc_line2_2_0_7.png,7,13,1
turk4,euc,264,euc_line2_2_0_7.png,7,14,0
turk4,euc,264,euc_line2_2_0_7.png,7,15,0
turk4,euc,264,euc_line2_2_0_7.png,7,16,0
turk4,euc,264,euc_line2_2_0_7.png,7,17,0
turk4,euc,264,euc_line2_2_0_7.png,7,18,0
turk4,euc,264,euc_line2_2_0_7.png,7,19,0
turk4,euc,264,euc_line2_2_0_7.png,7,20,0
turk4,euc,265,euc_line2_2_180_16.png,16,1,0
turk4,euc,265,euc_line2_2_180_16.png,16,2,0
turk4,euc,265,euc_line2_2_180_16.png,16,3,1
turk4,euc,265,euc_line2_2_180_16.png,16,4,0
turk4,euc,265,euc_line2_2_180_16.png,16,5,0
turk4,euc,265,euc_line2_2_180_16.png,16,6,1
turk4,euc,265,euc_line2_2_180_16.png,16,7,0
turk4,euc,265,euc_line2_2_180_16.png,16,8,0
turk4,euc,265,euc_line2_2_180_16.png,16,9,0
turk4,euc,265,euc_line2_2_180_16.png,16,10,0
turk4,euc,265,euc_line2_2_180_16.png,16,11,0
turk4,euc,265,euc_line2_2_180_16.png,16,12,0
turk4,euc,265,euc_line2_2_180_16.png,16,13,0
turk4,euc,265,euc_line2_2_180_16.png,16,14,0
turk4,euc,265,euc_line2_2_180_16.png,16,15,0
turk4,euc,265,euc_line2_2_180_16.png,16,16,1
turk4,euc,265,euc_line2_2_180_16.png,16,17,0
turk4,euc,265,euc_line2_2_180_16.png,16,18,0
turk4,euc,265,euc_line2_2_180_16.png,16,19,1
turk4,euc,265,euc_line2_2_180_16.png,16,20,0
turk4,euc,266,euc_line2_2_270_13.png,13,1,0
turk4,euc,266,euc_line2_2_270_13.png,13,2,0
turk4,euc,266,euc_line2_2_270_13.png,13,3,0
turk4,euc,266,euc_line2_2_270_13.png,13,4,0
turk4,euc,266,euc_line2_2_270_13.png,13,5,0
turk4,euc,266,euc_line2_2_270_13.png,13,6,0
turk4,euc,266,euc_line2_2_270_13.png,13,7,0
turk4,euc,266,euc_line2_2_270_13.png,13,8,0
turk4,euc,266,euc_line2_2_270_13.png,13,9,0
turk4,euc,266,euc_line2_2_270_13.png,13,10,0
turk4,euc,266,euc_line2_2_270_13.png,13,11,0
turk4,euc,266,euc_line2_2_270_13.png,13,12,0
turk4,euc,266,euc_line2_2_270_13.png,13,13,1
turk4,euc,266,euc_line2_2_270_13.png,13,14,0
turk4,euc,266,euc_line2_2_270_13.png,13,15,0
turk4,euc,266,euc_line2_2_270_13.png,13,16,0
turk4,euc,266,euc_line2_2_270_13.png,13,17,0
turk4,euc,266,euc_line2_2_270_13.png,13,18,2
turk4,euc,266,euc_line2_2_270_13.png,13,19,0
turk4,euc,266,euc_line2_2_270_13.png,13,20,0
turk4,euc,267,euc_line2_2_90_5.png,5,1,0
turk4,euc,267,euc_line2_2_90_5.png,5,2,0
turk4,euc,267,euc_line2_2_90_5.png,5,3,0
turk4,euc,267,euc_line2_2_90_5.png,5,4,0
turk4,euc,267,euc_line2_2_90_5.png,5,5,1
turk4,euc,267,euc_line2_2_90_5.png,5,6,0
turk4,euc,267,euc_line2_2_90_5.png,5,7,0
turk4,euc,267,euc_line2_2_90_5.png,5,8,0
turk4,euc,267,euc_line2_2_90_5.png,5,9,0
turk4,euc,267,euc_line2_2_90_5.png,5,10,1
turk4,euc,267,euc_line2_2_90_5.png,5,11,0
turk4,euc,267,euc_line2_2_90_5.png,5,12,2
turk4,euc,267,euc_line2_2_90_5.png,5,13,0
turk4,euc,267,euc_line2_2_90_5.png,5,14,0
turk4,euc,267,euc_line2_2_90_5.png,5,15,0
turk4,euc,267,euc_line2_2_90_5.png,5,16,0
turk4,euc,267,euc_line2_2_90_5.png,5,17,1
turk4,euc,267,euc_line2_2_90_5.png,5,18,0
turk4,euc,267,euc_line2_2_90_5.png,5,19,0
turk4,euc,267,euc_line2_2_90_5.png,5,20,0
turk4,euc,268,euc_line24_1_0_5.png,5,1,0
turk4,euc,268,euc_line24_1_0_5.png,5,2,0
turk4,euc,268,euc_line24_1_0_5.png,5,3,0
turk4,euc,268,euc_line24_1_0_5.png,5,4,0
turk4,euc,268,euc_line24_1_0_5.png,5,5,6
turk4,euc,268,euc_line24_1_0_5.png,5,6,0
turk4,euc,268,euc_line24_1_0_5.png,5,7,0
turk4,euc,268,euc_line24_1_0_5.png,5,8,0
turk4,euc,268,euc_line24_1_0_5.png,5,9,0
turk4,euc,268,euc_line24_1_0_5.png,5,10,1
turk4,euc,268,euc_line24_1_0_5.png,5,11,0
turk4,euc,268,euc_line24_1_0_5.png,5,12,0
turk4,euc,268,euc_line24_1_0_5.png,5,13,0
turk4,euc,268,euc_line24_1_0_5.png,5,14,0
turk4,euc,268,euc_line24_1_0_5.png,5,15,0
turk4,euc,268,euc_line24_1_0_5.png,5,16,0
turk4,euc,268,euc_line24_1_0_5.png,5,17,0
