"pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
324,"50","turk10-Control-Outer-Single-rep1","50-10",NA,"3","images/filebab66768c3ad-single.svg","turk10",27,"data-2-1-11-50-10-9-3.csv"
325,"75","turk10-Standard-Inner-Multiple-rep1","75-10",NA,"12","images/filebab61a140fd3-multiple.svg","turk10",28,"data-2-1-12-75-10-12-4.csv"
326,"75","turk10-Standard-Inner-Single-rep1","75-10",NA,"12","images/filebab61a140fd3-single.svg","turk10",28,"data-2-1-12-75-10-12-4.csv"
327,"75","turk10-Standard-Outer-Multiple-rep1","75-10",NA,"4","images/filebab61b1af305-multiple.svg","turk10",28,"data-2-1-12-75-10-12-4.csv"
328,"75","turk10-Standard-Outer-Single-rep1","75-10",NA,"4","images/filebab61b1af305-single.svg","turk10",28,"data-2-1-12-75-10-12-4.csv"
329,"75","turk10-Rotated-Inner-Multiple-rep1","75-10",NA,"12","images/filebab6f06c7e5-multiple.svg","turk10",28,"data-2-1-12-75-10-12-4.csv"
330,"75","turk10-Rotated-Inner-Single-rep1","75-10",NA,"12","images/filebab6f06c7e5-single.svg","turk10",28,"data-2-1-12-75-10-12-4.csv"
331,"75","turk10-Rotated-Outer-Single-rep1","75-10",NA,"4","images/filebab662d9318-single.svg","turk10",28,"data-2-1-12-75-10-12-4.csv"
332,"75","turk10-Rotated-Outer-Multiple-rep1","75-10",NA,"4","images/filebab662d9318-multiple.svg","turk10",28,"data-2-1-12-75-10-12-4.csv"
333,"75","turk10-Control-Inner-Single-rep1","75-10",NA,"12","images/filebab6648db2a-single.svg","turk10",28,"data-2-1-12-75-10-12-4.csv"
334,"75","turk10-Control-Inner-Multiple-rep1","75-10",NA,"12","images/filebab6648db2a-multiple.svg","turk10",28,"data-2-1-12-75-10-12-4.csv"
335,"75","turk10-Control-Outer-Multiple-rep1","75-10",NA,"4","images/filebab6192ca59f-multiple.svg","turk10",28,"data-2-1-12-75-10-12-4.csv"
336,"75","turk10-Control-Outer-Single-rep1","75-10",NA,"4","images/filebab6192ca59f-single.svg","turk10",28,"data-2-1-12-75-10-12-4.csv"
337,"30","turk10-Standard-Inner-Multiple-rep1","30-2",NA,"9","images/filebab66dcdd3d1-multiple.svg","turk10",29,"data-2-1-2-30-2-9-3.csv"
338,"30","turk10-Standard-Inner-Single-rep1","30-2",NA,"9","images/filebab66dcdd3d1-single.svg","turk10",29,"data-2-1-2-30-2-9-3.csv"
339,"30","turk10-Standard-Outer-Multiple-rep1","30-2",NA,"3","images/filebab6640d76a8-multiple.svg","turk10",29,"data-2-1-2-30-2-9-3.csv"
340,"30","turk10-Standard-Outer-Single-rep1","30-2",NA,"3","images/filebab6640d76a8-single.svg","turk10",29,"data-2-1-2-30-2-9-3.csv"
341,"30","turk10-Rotated-Inner-Multiple-rep1","30-2",NA,"9","images/filebab6422d76a2-multiple.svg","turk10",29,"data-2-1-2-30-2-9-3.csv"
342,"30","turk10-Rotated-Inner-Single-rep1","30-2",NA,"9","images/filebab6422d76a2-single.svg","turk10",29,"data-2-1-2-30-2-9-3.csv"
343,"30","turk10-Rotated-Outer-Single-rep1","30-2",NA,"3","images/filebab636c7a79f-single.svg","turk10",29,"data-2-1-2-30-2-9-3.csv"
344,"30","turk10-Rotated-Outer-Multiple-rep1","30-2",NA,"3","images/filebab636c7a79f-multiple.svg","turk10",29,"data-2-1-2-30-2-9-3.csv"
345,"30","turk10-Control-Inner-Single-rep1","30-2",NA,"9","images/filebab62fe942e9-single.svg","turk10",29,"data-2-1-2-30-2-9-3.csv"
346,"30","turk10-Control-Inner-Multiple-rep1","30-2",NA,"9","images/filebab62fe942e9-multiple.svg","turk10",29,"data-2-1-2-30-2-9-3.csv"
347,"30","turk10-Control-Outer-Multiple-rep1","30-2",NA,"3","images/filebab67b27e791-multiple.svg","turk10",29,"data-2-1-2-30-2-9-3.csv"
348,"30","turk10-Control-Outer-Single-rep1","30-2",NA,"3","images/filebab67b27e791-single.svg","turk10",29,"data-2-1-2-30-2-9-3.csv"
349,"50","turk10-Standard-Inner-Multiple-rep1","50-2",NA,"13","images/filebab67a1e5cf1-multiple.svg","turk10",30,"data-2-1-3-50-2-13-4.csv"
350,"50","turk10-Standard-Inner-Single-rep1","50-2",NA,"13","images/filebab67a1e5cf1-single.svg","turk10",30,"data-2-1-3-50-2-13-4.csv"
351,"50","turk10-Standard-Outer-Multiple-rep1","50-2",NA,"4","images/filebab65f6810d9-multiple.svg","turk10",30,"data-2-1-3-50-2-13-4.csv"
352,"50","turk10-Standard-Outer-Single-rep1","50-2",NA,"4","images/filebab65f6810d9-single.svg","turk10",30,"data-2-1-3-50-2-13-4.csv"
353,"50","turk10-Rotated-Inner-Multiple-rep1","50-2",NA,"13","images/filebab678d41fc1-multiple.svg","turk10",30,"data-2-1-3-50-2-13-4.csv"
354,"50","turk10-Rotated-Inner-Single-rep1","50-2",NA,"13","images/filebab678d41fc1-single.svg","turk10",30,"data-2-1-3-50-2-13-4.csv"
355,"50","turk10-Rotated-Outer-Single-rep1","50-2",NA,"4","images/filebab62e70f5e0-single.svg","turk10",30,"data-2-1-3-50-2-13-4.csv"
356,"50","turk10-Rotated-Outer-Multiple-rep1","50-2",NA,"4","images/filebab62e70f5e0-multiple.svg","turk10",30,"data-2-1-3-50-2-13-4.csv"
357,"50","turk10-Control-Inner-Single-rep1","50-2",NA,"13","images/filebab6292a477e-single.svg","turk10",30,"data-2-1-3-50-2-13-4.csv"
358,"50","turk10-Control-Inner-Multiple-rep1","50-2",NA,"13","images/filebab6292a477e-multiple.svg","turk10",30,"data-2-1-3-50-2-13-4.csv"
359,"50","turk10-Control-Outer-Multiple-rep1","50-2",NA,"4","images/filebab616bbb64f-multiple.svg","turk10",30,"data-2-1-3-50-2-13-4.csv"
360,"50","turk10-Control-Outer-Single-rep1","50-2",NA,"4","images/filebab616bbb64f-single.svg","turk10",30,"data-2-1-3-50-2-13-4.csv"
361,"75","turk10-Standard-Inner-Multiple-rep1","75-2",NA,"7","images/filebab6674104c3-multiple.svg","turk10",31,"data-2-1-4-75-2-7-6.csv"
362,"75","turk10-Standard-Inner-Single-rep1","75-2",NA,"7","images/filebab6674104c3-single.svg","turk10",31,"data-2-1-4-75-2-7-6.csv"
363,"75","turk10-Standard-Outer-Multiple-rep1","75-2",NA,"6","images/filebab65d9fd32a-multiple.svg","turk10",31,"data-2-1-4-75-2-7-6.csv"
364,"75","turk10-Standard-Outer-Single-rep1","75-2",NA,"6","images/filebab65d9fd32a-single.svg","turk10",31,"data-2-1-4-75-2-7-6.csv"
365,"75","turk10-Rotated-Inner-Multiple-rep1","75-2",NA,"7","images/filebab67dbe0831-multiple.svg","turk10",31,"data-2-1-4-75-2-7-6.csv"
366,"75","turk10-Rotated-Inner-Single-rep1","75-2",NA,"7","images/filebab67dbe0831-single.svg","turk10",31,"data-2-1-4-75-2-7-6.csv"
367,"75","turk10-Rotated-Outer-Single-rep1","75-2",NA,"6","images/filebab6470c0975-single.svg","turk10",31,"data-2-1-4-75-2-7-6.csv"
368,"75","turk10-Rotated-Outer-Multiple-rep1","75-2",NA,"6","images/filebab6470c0975-multiple.svg","turk10",31,"data-2-1-4-75-2-7-6.csv"
369,"75","turk10-Control-Inner-Single-rep1","75-2",NA,"7","images/filebab627e09a6b-single.svg","turk10",31,"data-2-1-4-75-2-7-6.csv"
370,"75","turk10-Control-Inner-Multiple-rep1","75-2",NA,"7","images/filebab627e09a6b-multiple.svg","turk10",31,"data-2-1-4-75-2-7-6.csv"
371,"75","turk10-Control-Outer-Multiple-rep1","75-2",NA,"6","images/filebab6ab9fb41-multiple.svg","turk10",31,"data-2-1-4-75-2-7-6.csv"
372,"75","turk10-Control-Outer-Single-rep1","75-2",NA,"6","images/filebab6ab9fb41-single.svg","turk10",31,"data-2-1-4-75-2-7-6.csv"
373,"20","turk10-Standard-Inner-Multiple-rep1","20-5",NA,"8","images/filebab6100786eb-multiple.svg","turk10",32,"data-2-1-5-20-5-8-4.csv"
374,"20","turk10-Standard-Inner-Single-rep1","20-5",NA,"8","images/filebab6100786eb-single.svg","turk10",32,"data-2-1-5-20-5-8-4.csv"
375,"20","turk10-Standard-Outer-Multiple-rep1","20-5",NA,"4","images/filebab65e2ab685-multiple.svg","turk10",32,"data-2-1-5-20-5-8-4.csv"
376,"20","turk10-Standard-Outer-Single-rep1","20-5",NA,"4","images/filebab65e2ab685-single.svg","turk10",32,"data-2-1-5-20-5-8-4.csv"
377,"20","turk10-Rotated-Inner-Multiple-rep1","20-5",NA,"8","images/filebab6381e6de7-multiple.svg","turk10",32,"data-2-1-5-20-5-8-4.csv"
378,"20","turk10-Rotated-Inner-Single-rep1","20-5",NA,"8","images/filebab6381e6de7-single.svg","turk10",32,"data-2-1-5-20-5-8-4.csv"
379,"20","turk10-Rotated-Outer-Single-rep1","20-5",NA,"4","images/filebab655c17579-single.svg","turk10",32,"data-2-1-5-20-5-8-4.csv"
380,"20","turk10-Rotated-Outer-Multiple-rep1","20-5",NA,"4","images/filebab655c17579-multiple.svg","turk10",32,"data-2-1-5-20-5-8-4.csv"
381,"20","turk10-Control-Inner-Single-rep1","20-5",NA,"8","images/filebab64635060f-single.svg","turk10",32,"data-2-1-5-20-5-8-4.csv"
382,"20","turk10-Control-Inner-Multiple-rep1","20-5",NA,"8","images/filebab64635060f-multiple.svg","turk10",32,"data-2-1-5-20-5-8-4.csv"
